snapped_at,price,market_cap,total_volume
2013-07-16 00:00:00 UTC,104155.7914,1189461742191.2485,0.0
2013-07-17 00:00:00 UTC,101214.3682,1156265351310.7654,0.0
2013-07-18 00:00:00 UTC,95498.2004,1091401183271.4,0.0
2013-07-19 00:00:00 UTC,96171.8755,1099492179254.6627,0.0
2013-07-20 00:00:00 UTC,95990.9357,1097850731059.8156,0.0
2013-07-21 00:00:00 UTC,95835.2164,1096493836679.78,0.0
2013-07-22 00:00:00 UTC,96456.6027,1104102560201.103,0.0
2013-07-23 00:00:00 UTC,97377.1396,1115033977861.804,0.0
2013-07-24 00:00:00 UTC,97827.2563,1120520730761.3103,0.0
2013-07-25 00:00:00 UTC,99872.0069,1144343441732.6062,0.0
2013-07-26 00:00:00 UTC,101255.9079,1160587622618.861,0.0
2013-07-27 00:00:00 UTC,99190.152,1137296924291.9607,0.0
2013-07-28 00:00:00 UTC,102499.7224,1175725628691.1467,0.0
2013-07-29 00:00:00 UTC,103713.6849,1190065270282.4087,0.0
2013-07-30 00:00:00 UTC,107052.1978,1228838796494.1243,0.0
2013-07-31 00:00:00 UTC,109111.3508,1253072941559.98,0.0
2013-08-01 00:00:00 UTC,108066.2923,1241579036057.958,0.0
2013-08-02 00:00:00 UTC,109195.0598,1255027959520.9856,0.0
2013-08-03 00:00:00 UTC,108598.3713,1248702082637.355,0.0
2013-08-04 00:00:00 UTC,108557.8112,1248686223328.0,0.0
2013-08-05 00:00:00 UTC,108821.7689,1252214815276.5225,0.0
2013-08-06 00:00:00 UTC,108392.4887,1247798071194.711,0.0
2013-08-07 00:00:00 UTC,108109.5394,1244751614743.72,0.0
2013-08-08 00:00:00 UTC,105818.717,1219370239318.086,0.0
2013-08-09 00:00:00 UTC,103927.5269,1198110306549.4424,0.0
2013-08-10 00:00:00 UTC,103752.6106,1196630734355.1,0.0
2013-08-11 00:00:00 UTC,104695.5389,1208058267123.0774,0.0
2013-08-12 00:00:00 UTC,105726.9406,1220583167468.705,0.0
2013-08-13 00:00:00 UTC,109054.6574,1259502228651.8323,0.0
2013-08-14 00:00:00 UTC,109299.8745,1262785169656.618,0.0
2013-08-15 00:00:00 UTC,109078.0054,1260674500823.2488,0.0
2013-08-16 00:00:00 UTC,109957.7866,1271307188242.2769,0.0
2013-08-17 00:00:00 UTC,110977.7475,1283632440281.9968,0.0
2013-08-18 00:00:00 UTC,110101.3846,1274021656691.21,0.0
2013-08-19 00:00:00 UTC,113934.5676,1318909403333.4258,0.0
2013-08-20 00:00:00 UTC,117238.3932,1357670419086.6436,0.0
2013-08-21 00:00:00 UTC,124758.3514,1445390999360.1682,0.0
2013-08-22 00:00:00 UTC,122791.9956,1423254393076.2478,0.0
2013-08-23 00:00:00 UTC,120592.1374,1398383410486.965,0.0
2013-08-24 00:00:00 UTC,121354.0782,1407783153418.875,0.0
2013-08-25 00:00:00 UTC,124650.4288,1446505901009.6,0.0
2013-08-26 00:00:00 UTC,125062.621,1451764423354.3,0.0
2013-08-27 00:00:00 UTC,130741.7526,1518268019221.9243,0.0
2013-08-28 00:00:00 UTC,131148.3911,1523537744569.59,0.0
2013-08-29 00:00:00 UTC,130724.2062,1519250579615.16,0.0
2013-08-30 00:00:00 UTC,136829.0923,1590874228171.7175,0.0
2013-08-31 00:00:00 UTC,143693.2989,1671422491142.4375,0.0
2013-09-01 00:00:00 UTC,142353.5967,1656647098760.9458,0.0
2013-09-02 00:00:00 UTC,140292.576,1633489593515.8179,0.0
2013-09-03 00:00:00 UTC,140264.1769,1633783106113.51,0.0
2013-09-04 00:00:00 UTC,131999.3009,1538121853737.25,0.0
2013-09-05 00:00:00 UTC,132343.6654,1542673861510.005,0.0
2013-09-06 00:00:00 UTC,127152.03,1482780219296.2756,0.0
2013-09-07 00:00:00 UTC,130140.2738,1518131843498.7344,0.0
2013-09-08 00:00:00 UTC,127195.3813,1484261984219.172,0.0
